Gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
Krt79,ENSMUSG00000061397,8,1,Tongue;Skin of Body,basal cell of epidermis;basal cell of epidermis
Krt8,ENSMUSG00000049382,8,1,Large Intestine,intestinal crypt stem cell
Lamp3,ENSMUSG00000041247,8,1,Lung,type II pneumocyte
Laptm5,ENSMUSG00000028581,8,1,Lung,alveolar macrophage
Lce1m,ENSMUSG00000027912,4,1,Skin of Body,epidermal cell
Ldhb,ENSMUSG00000030246,8,1,Kidney,kidney distal convoluted tubule epithelial cell
Lhx2,ENSMUSG00000000247,8,1,Skin of Body,keratinocyte stem cell
Lipg,ENSMUSG00000053846,8,1,Lung,pericyte
Lor,ENSMUSG00000043165,7,1,Skin of Body,keratinocyte stem cell
Lrp2,ENSMUSG00000027070,8,1,Kidney,kidney proximal convoluted tubule epithelial cell
Lst1,ENSMUSG00000073412,4,1,Lung,non-classical monocyte
Ltc4s,ENSMUSG00000020377,2,1,Lung,alveolar macrophage
Lum,ENSMUSG00000036446,8,1,Adipose Tissue,mesenchymal stem cell of adipose tissue
Ly6g6c,ENSMUSG00000092586,8,1,Skin of Body,epidermal cell
Ly6h,ENSMUSG00000022577,8,1,Pancreas,pancreatic D cell
Lyve1,ENSMUSG00000030787,8,1,Lymph Node;Lung,Ptx3+ medullary lymphatic endothelial cell;smooth muscle cell of the pulmonary artery
Mamdc2,ENSMUSG00000033207,8,1,Lung,fibroblast of lung
Mapk10,ENSMUSG00000046709,8,1,Heart;Brain;Brain,cardiac muscle cell;glutamatergic neuron;GABAergic neuron
Marco,ENSMUSG00000026390,8,1,Lymph Node,Marco+ medullary lymphatic endothelial cell
Mettl7a2,ENSMUSG00000056487,8,1,Kidney,brush cell
Mfap4,ENSMUSG00000042436,6,1,Lung;Skin of Body,fibroblast of lung;fibroblast
Mfap5,ENSMUSG00000030116,8,1,Lung;Skin of Body,adventitial cell;fibroblast
Mgat4c,ENSMUSG00000019888,8,1,Large Intestine,epithelial cell of large intestine
Mgll,ENSMUSG00000033174,8,1,Adipose Tissue,endothelial cell
Mlc1,ENSMUSG00000035805,8,1,Lung,type II pneumocyte
Mmp8,ENSMUSG00000005800,8,1,Bone Marrow;Spleen,proerythroblast;proerythroblast
Mmp9,ENSMUSG00000017737,8,1,Lymph Node;Bone Marrow;Bone Marrow,subcapsular floor lymphatic endothelial cell;proerythroblast;macrophage
Mmrn1,ENSMUSG00000054641,8,1,Lymph Node;Lung,Ptx3+ medullary lymphatic endothelial cell;endothelial cell of lymphatic vessel
Mpeg1,ENSMUSG00000046805,8,1,Lung,alveolar macrophage
Mpo,ENSMUSG00000009350,8,1,Kidney;Adipose Tissue,lymphocyte;lymphocyte
Mrgpra2a,ENSMUSG00000093973,8,1,Heart,mast cell
Ms4a6b,ENSMUSG00000024677,8,1,Thymus,CD4-positive alpha-beta T cell
Ms4a6c,ENSMUSG00000079419,8,1,Lung,classical monocyte
Ms4a7,ENSMUSG00000024672,8,1,Bone Marrow;Mammary Gland;Kidney;Limb Muscle;Spleen;Trachea,macrophage;macrophage;macrophage;macrophage;macrophage;macrophage
Muc1,ENSMUSG00000042784,8,1,Lung,type II pneumocyte
Mustn1,ENSMUSG00000042485,7,1,Lung;Skin of Body,pulmonary interstitial fibroblast;fibroblast
Myf6,ENSMUSG00000035923,8,1,Limb Muscle,cell of skeletal muscle
Myh11,ENSMUSG00000018830,8,1,Heart;Limb Muscle,smooth muscle cell;smooth muscle cell
Myl9,ENSMUSG00000067818,8,1,Kidney,mesangial cell
Mylk,ENSMUSG00000022836,8,1,Kidney;Lung,mesangial cell;bronchial smooth muscle cell
Mylk3,ENSMUSG00000031698,8,1,Heart,cardiac muscle cell
Myoz1,ENSMUSG00000068697,3,1,Limb Muscle,cell of skeletal muscle
Myoz2,ENSMUSG00000028116,8,1,Heart,cardiac muscle cell
Myt1l,ENSMUSG00000061911,8,1,Pancreas;Brain,pancreatic A cell;GABAergic neuron
Nap1l5,ENSMUSG00000055430,8,1,Pancreas,pancreatic A cell
Nbl1,ENSMUSG00000041120,8,1,Bladder Lumen;Adipose Tissue,bladder cell;mesenchymal stem cell of adipose tissue
Ncf4,ENSMUSG00000071715,8,1,Kidney,kidney cell
Ndrg1,ENSMUSG00000005125,8,1,Kidney,kidney proximal convoluted tubule epithelial cell
Ndufa4l2,ENSMUSG00000040280,5,1,Skin of Body,stem cell of epidermis
Ndufs8,ENSMUSG00000059734,8,1,Kidney,kidney distal convoluted tubule epithelial cell
Neurod1,ENSMUSG00000034701,8,1,Pancreas;Brain,pancreatic A cell;glutamatergic neuron
Nnat,ENSMUSG00000067786,3,1,Lung;Brain,lung neuroendocrine cell;glutamatergic neuron
Nox4,ENSMUSG00000030562,8,1,Kidney,kidney proximal convoluted tubule epithelial cell
Nts,ENSMUSG00000019890,8,1,Lymph Node,collecting vessel lymphatic endothelial cell
Nupr1,ENSMUSG00000030717,4,1,Lung;Skin of Body,club cell;basal cell of epidermis
Oit1,ENSMUSG00000021749,8,1,Large Intestine,large intestine goblet cell
Oit3,ENSMUSG00000009654,8,1,Liver,endothelial cell of hepatic sinusoid
Omp,ENSMUSG00000074006,8,1,Nose and Airway,olfactory sensory neuron
Otor,ENSMUSG00000027416,8,1,Kidney;Trachea,fibroblast;fibroblast
Pax8,ENSMUSG00000026976,8,1,Kidney,podocyte (sensu Diptera)
Pck1,ENSMUSG00000027513,8,1,Kidney,kidney proximal convoluted tubule epithelial cell
Pcolce2,ENSMUSG00000015354,8,1,Lung;Adipose Tissue,adventitial cell;mesenchymal stem cell of adipose tissue
Pf4,ENSMUSG00000029373,5,1,Lymph Node;Heart,subcapsular floor lymphatic endothelial cell;leukocyte
Pgam2,ENSMUSG00000020475,5,1,Kidney,kidney collecting duct epithelial cell
Pglyrp1,ENSMUSG00000030413,5,1,Bone Marrow;Spleen;Trachea,granulocyte;granulocyte;granulocyte
Pi16,ENSMUSG00000024011,8,1,Heart,fibroblast of cardiac tissue
Plbd1,ENSMUSG00000030214,8,1,Lung,myeloid dendritic cell
Pln,ENSMUSG00000038583,8,1,Heart,cadiac muscle cell
